return_id,order_id,return_date,reason
1,5814,2024-03-24,Size issue
2,6044,2025-05-11,Size issue
3,1514,2025-12-10,Quality issue
4,9842,2024-09-25,Product damaged
5,8823,2025-10-23,Product damaged
6,7086,2024-02-24,Quality issue
7,5880,2025-08-31,Wrong product
8,4332,2025-07-09,Product damaged
9,457,2024-01-29,Late delivery
10,1960,2025-11-02,Wrong product
11,8201,2024-02-29,Not satisfied
12,1181,2024-07-30,Not satisfied
13,4457,2025-01-14,Wrong product
14,1471,2025-06-17,Wrong product
15,9911,2024-08-28,Product damaged
16,3421,2025-03-22,Not satisfied
17,7525,2024-05-13,Late delivery
18,3679,2025-03-30,Quality issue
19,4747,2025-02-26,Quality issue
20,3941,2024-10-09,Not satisfied
21,2239,2025-01-28,Size issue
22,9522,2024-04-18,Wrong product
23,5443,2025-10-07,Quality issue
24,1947,2024-06-27,Size issue
25,10000,2025-08-13,Product damaged
26,2587,2025-10-04,Late delivery
27,3092,2024-02-16,Not satisfied
28,9471,2025-10-23,Wrong product
29,14,2024-12-31,Not satisfied
30,896,2025-11-16,Late delivery
31,9252,2025-07-26,Quality issue
32,5615,2024-08-18,Wrong product
33,3947,2024-08-04,Product damaged
34,9068,2024-01-21,Late delivery
35,9791,2024-03-05,Size issue
36,8193,2024-08-15,Size issue
37,5528,2024-05-08,Late delivery
38,4904,2025-04-30,Size issue
39,7792,2024-10-14,Wrong product
40,4983,2025-11-26,Late delivery
41,5473,2025-09-05,Late delivery
42,2128,2024-10-29,Wrong product
43,4432,2025-10-23,Not satisfied
44,6679,2025-12-10,Late delivery
45,4499,2024-04-27,Product damaged
46,5809,2026-01-11,Product damaged
47,2713,2024-01-11,Product damaged
48,1156,2024-08-11,Late delivery
49,7785,2024-03-27,Late delivery
50,6277,2024-07-16,Size issue
51,7176,2025-02-19,Late delivery
52,4130,2024-11-05,Wrong product
53,5516,2024-09-30,Size issue
54,650,2024-02-28,Late delivery
55,4745,2025-01-22,Not satisfied
56,676,2025-07-17,Quality issue
57,57,2025-05-24,Size issue
58,6413,2025-03-23,Product damaged
59,4176,2024-03-11,Quality issue
60,816,2024-03-14,Product damaged
61,3341,2024-11-10,Not satisfied
62,5114,2024-11-30,Product damaged
63,3245,2024-03-03,Product damaged
64,1877,2024-09-27,Wrong product
65,3545,2024-01-16,Late delivery
66,4245,2024-10-02,Product damaged
67,1990,2024-05-08,Size issue
68,8225,2025-02-09,Size issue
69,1741,2024-02-18,Not satisfied
70,8719,2025-01-05,Product damaged
71,5806,2024-06-04,Not satisfied
72,1200,2024-10-14,Late delivery
73,2489,2024-04-11,Wrong product
74,1404,2025-06-19,Quality issue
75,1646,2025-07-19,Wrong product
76,5808,2024-03-14,Wrong product
77,1657,2025-02-05,Quality issue
78,1714,2025-10-01,Product damaged
79,9165,2025-06-07,Size issue
80,8801,2025-07-15,Quality issue
