product_id,product_name,category,sub_category,price
1,Laptop 1,Electronics,Computers,65000.0
2,Laptop 2,Electronics,Computers,65000.0
3,Laptop 3,Electronics,Computers,65000.0
4,Laptop 4,Electronics,Computers,65000.0
5,Laptop 5,Electronics,Computers,65000.0
6,Laptop 6,Electronics,Computers,65000.0
7,Laptop 7,Electronics,Computers,65000.0
8,Laptop 8,Electronics,Computers,65000.0
9,Laptop 9,Electronics,Computers,65000.0
10,Laptop 10,Electronics,Computers,65000.0
11,Mobile 1,Electronics,Mobiles,25000.0
12,Mobile 2,Electronics,Mobiles,25000.0
13,Mobile 3,Electronics,Mobiles,25000.0
14,Mobile 4,Electronics,Mobiles,25000.0
15,Mobile 5,Electronics,Mobiles,25000.0
16,Mobile 6,Electronics,Mobiles,25000.0
17,Mobile 7,Electronics,Mobiles,25000.0
18,Mobile 8,Electronics,Mobiles,25000.0
19,Mobile 9,Electronics,Mobiles,25000.0
20,Mobile 10,Electronics,Mobiles,25000.0
21,Smart TV 1,Electronics,Television,45000.0
22,Smart TV 2,Electronics,Television,45000.0
23,Smart TV 3,Electronics,Television,45000.0
24,Smart TV 4,Electronics,Television,45000.0
25,Smart TV 5,Electronics,Television,45000.0
26,Smart TV 6,Electronics,Television,45000.0
27,Smart TV 7,Electronics,Television,45000.0
28,Smart TV 8,Electronics,Television,45000.0
29,Smart TV 9,Electronics,Television,45000.0
30,Smart TV 10,Electronics,Television,45000.0
31,Headphones 1,Electronics,Accessories,3500.0
32,Headphones 2,Electronics,Accessories,3500.0
33,Headphones 3,Electronics,Accessories,3500.0
34,Headphones 4,Electronics,Accessories,3500.0
35,Headphones 5,Electronics,Accessories,3500.0
36,Headphones 6,Electronics,Accessories,3500.0
37,Headphones 7,Electronics,Accessories,3500.0
38,Headphones 8,Electronics,Accessories,3500.0
39,Headphones 9,Electronics,Accessories,3500.0
40,Headphones 10,Electronics,Accessories,3500.0
41,Camera 1,Electronics,Cameras,50000.0
42,Camera 2,Electronics,Cameras,50000.0
43,Camera 3,Electronics,Cameras,50000.0
44,Camera 4,Electronics,Cameras,50000.0
45,Camera 5,Electronics,Cameras,50000.0
