order_id,customer_id,product_id,order_date,quantity,discount,payment_method,status,product_name,category,sub_category,price,gross_sales,discount_amount,net_sales
1,748,165,2025-08-13,1,10.0,Card,Cancelled,Mixer Grinder 5,Home Appliances,Kitchen,4200.0,4200.0,420.0,3780.0
2,246,14,2024-08-10,4,0.0,Cash,Delivered,Mobile 4,Electronics,Mobiles,25000.0,100000.0,0.0,100000.0
3,606,4,2025-10-22,1,20.0,Wallet,Delivered,Laptop 4,Electronics,Computers,65000.0,65000.0,13000.0,52000.0
4,990,110,2024-08-15,4,5.0,UPI,Delivered,Office Chair 10,Furniture,Chairs,8500.0,34000.0,1700.0,32300.0
5,800,154,2024-09-02,1,20.0,Card,Cancelled,Coffee Maker 4,Home Appliances,Kitchen,5500.0,5500.0,1100.0,4400.0
6,942,62,2025-10-16,1,5.0,Net Banking,Delivered,Casual Shirt 2,Fashion,Clothing,1800.0,1800.0,90.0,1710.0
7,815,158,2025-04-30,4,0.0,Wallet,Delivered,Coffee Maker 8,Home Appliances,Kitchen,5500.0,22000.0,0.0,22000.0
8,650,84,2025-12-12,1,15.0,Wallet,Delivered,Backpack 4,Fashion,Bags,2200.0,2200.0,330.0,1870.0
9,26,157,2025-02-22,1,5.0,Net Banking,Delivered,Coffee Maker 7,Home Appliances,Kitchen,5500.0,5500.0,275.0,5225.0
10,797,17,2024-11-06,2,5.0,Card,Delivered,Mobile 7,Electronics,Mobiles,25000.0,50000.0,2500.0,47500.0
11,545,137,2025-04-18,1,20.0,Net Banking,Delivered,Sofa 7,Furniture,Sofas,28000.0,28000.0,5600.0,22400.0
12,331,131,2025-01-01,1,10.0,Wallet,Delivered,Sofa 1,Furniture,Sofas,28000.0,28000.0,2800.0,25200.0
13,426,122,2025-05-29,2,15.0,Card,Delivered,Bookshelf 2,Furniture,Storage,9500.0,19000.0,2850.0,16150.0
14,270,108,2024-12-02,2,20.0,Wallet,Delivered,Office Chair 8,Furniture,Chairs,8500.0,17000.0,3400.0,13600.0
15,880,196,2025-02-07,5,10.0,Cash,Cancelled,Air Fryer 6,Home Appliances,Kitchen,6500.0,32500.0,3250.0,29250.0
16,335,18,2025-04-07,1,5.0,Cash,Delivered,Mobile 8,Electronics,Mobiles,25000.0,25000.0,1250.0,23750.0
17,440,193,2025-02-16,2,10.0,Card,Delivered,Air Fryer 3,Home Appliances,Kitchen,6500.0,13000.0,1300.0,11700.0
18,207,58,2024-08-09,1,5.0,Cash,Delivered,Running Shoes 8,Fashion,Footwear,4500.0,4500.0,225.0,4275.0
19,510,42,2025-10-30,4,15.0,Card,Delivered,Camera 2,Electronics,Cameras,50000.0,200000.0,30000.0,170000.0
20,318,10,2024-08-11,2,5.0,UPI,Delivered,Laptop 10,Electronics,Computers,65000.0,130000.0,6500.0,123500.0
21,478,88,2024-12-04,3,10.0,Net Banking,Delivered,Backpack 8,Fashion,Bags,2200.0,6600.0,660.0,5940.0
22,152,111,2024-02-16,2,0.0,Card,Delivered,Study Table 1,Furniture,Tables,12000.0,24000.0,0.0,24000.0
23,991,128,2024-08-13,4,20.0,UPI,Delivered,Bookshelf 8,Furniture,Storage,9500.0,38000.0,7600.0,30400.0
